,>35,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman
47534,1,2,1,1,10,5,Brazil,12464.0,16,1,1,0,0
47535,0,4,1,1,25,9,United States of America,205000.0,10,0,1,0,0
47536,0,3,1,1,3,2,France,51189.0,6,0,1,0,0
47537,0,3,1,1,11,7,United States of America,190000.0,17,1,1,0,0
47538,0,2,1,1,22,22,Canada,85893.0,11,1,1,0,0
47539,1,1,1,1,5,3,Russian Federation,41556.0,14,0,1,0,0
47540,0,4,1,0,14,10,United Kingdom of Great Britain and Northern Ireland,50256.0,7,0,1,0,0
47541,1,2,0,1,7,3,Netherlands,36259.0,16,1,1,0,0
47542,0,2,1,1,22,15,United States of America,110000.0,20,1,1,0,0
47543,1,1,1,0,8,6,Sweden,46320.0,11,0,1,0,0
47544,1,1,1,1,4,3,Brazil,6852.0,7,0,1,0,0
47545,0,3,1,1,17,11,Norway,124447.0,11,1,1,0,0
47546,0,2,1,1,21,9,United States of America,140000.0,21,1,1,0,0
47547,0,1,1,1,33,27,United States of America,170000.0,12,1,0,1,0
47548,1,3,1,1,8,3,Norway,67409.0,14,1,1,0,0
47549,0,3,1,1,22,18,United States of America,100000.0,21,1,1,0,0
47550,0,1,1,1,9,8,United States of America,175000.0,5,0,1,0,0
47551,1,1,0,1,11,7,Russian Federation,20784.0,11,1,1,0,0
47552,1,2,1,1,18,11,Romania,44796.0,17,1,1,0,0
47553,1,3,1,1,11,8,Poland,43008.0,2,0,1,0,0
47554,1,3,1,1,5,5,United States of America,135000.0,12,0,1,0,0
47555,0,2,1,1,25,23,United States of America,143800.0,4,0,1,0,0
47556,0,4,1,0,6,6,Spain,43191.0,3,0,1,0,0
47557,0,2,0,1,8,7,Canada,23424.0,16,1,1,0,0
47558,0,2,1,1,5,0,United States of America,80000.0,14,1,1,0,0
47559,1,2,1,1,6,5,United States of America,120000.0,8,1,1,0,0
47560,0,2,0,1,7,2,"Iran, Islamic Republic of...",3972.0,13,1,1,0,0
47561,0,2,1,1,5,3,United States of America,117000.0,20,1,1,0,0
47562,0,3,1,1,42,28,New Zealand,102933.0,8,0,1,0,0
