,Age,EdLevel,Employment,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,ComputerSkills,Employed,Gender_Man,Gender_NonBinary,Gender_Woman,PCA1,PCA2,MDS1,MDS2
1708,1,2,1,1,7,2,Italy,37834.0,5,0,1,0,0,-9.905865171673378,-8.27320870896676,11.130310360710295,6.621724668319302
1709,1,2,0,1,11,7,India,5868.0,25,1,1,0,0,-3.2274461017484897,11.594586055358212,1.6459398899202586,-12.04263989727365
1710,0,3,0,1,20,15,Belgium,197300.0,12,1,1,0,0,8.527574681368124,-1.6560270361332667,-8.254877306212899,2.5546235917837814
1711,1,1,1,1,19,14,United Kingdom of Great Britain and Northern Ireland,82920.0,17,1,1,0,0,7.224212267976679,3.3719271999186495,-7.601150998627102,-2.5154785832053315
1712,1,1,1,1,12,10,United States of America,165000.0,11,1,1,0,0,-0.8565414306278967,-2.451248745234811,1.184637434433054,2.167224831382969
1713,0,3,1,1,22,9,United Kingdom of Great Britain and Northern Ireland,78848.0,11,0,1,0,0,6.282900134946978,-2.6343212988410003,-6.228103371722131,3.9595494716076427
1714,1,1,1,1,5,2,South Korea,40242.0,5,0,1,0,0,-11.460042787134556,-8.234611532660658,12.732331765022993,6.255776471012984
1715,0,2,1,1,25,20,United States of America,93000.0,6,0,1,0,0,15.42645950400782,-7.801502488921094,-14.391915887280296,9.583664679472971
1716,1,2,1,1,16,12,Brazil,44868.0,19,1,1,0,0,3.6762975664090227,5.449366220650373,-4.365010995191848,-5.062897194071877
1717,1,2,0,1,17,9,Colombia,80500.0,5,0,1,0,0,2.2694130843287526,-8.536415706814145,-1.0317598508252839,8.672768073336535
1718,1,3,1,1,10,4,Germany,61853.0,7,0,1,0,0,-6.273163012982319,-6.3516197236428225,7.184432347692104,5.2804661420525365
1719,0,4,1,1,20,18,United Kingdom of Great Britain and Northern Ireland,119357.0,10,0,1,0,0,10.369101078628798,-3.685829175660494,-10.037890564092494,5.016537937832491
1720,0,3,1,1,21,16,United Kingdom of Great Britain and Northern Ireland,72385.0,13,1,1,0,0,9.950718272283773,-0.6858285687239953,-9.792731310730927,1.8063514894354122
1721,1,3,1,1,12,1,Sweden,46632.0,13,0,1,0,0,-6.4783257696518755,-0.3615236126071459,6.461088123159725,-1.0030001327927116
1722,1,2,1,1,10,6,United States of America,129996.0,5,0,0,1,0,-5.055616916250075,-8.371115746760195,6.338578056834867,7.383851265011662
1723,0,2,1,1,20,14,South Korea,125757.0,8,0,1,0,0,7.810952004872276,-5.645162163711007,-6.988539154909753,6.402105839543422
1724,1,3,1,0,11,5,United Kingdom of Great Britain and Northern Ireland,41363.0,7,0,1,0,0,-4.86779452152959,-6.380998242772772,5.791399800785387,5.481976450836041
1725,1,2,1,1,6,2,China,75080.0,15,1,1,0,0,-10.468573731863906,1.7437867659802244,10.196303752047738,-3.3769752953641747
1726,1,2,1,0,5,5,United States of America,105000.0,20,1,1,0,0,-9.251308951282034,6.731816289220882,8.459934717843163,-8.351370339599884
1727,1,3,1,1,3,2,Pakistan,6888.0,10,1,1,0,0,-12.908853888654626,-3.1972618509003414,13.505386246654282,1.0966355753099768
1728,0,3,1,1,40,20,Canada,70276.0,14,1,1,0,0,27.25316002132309,-0.09288355469305619,-28.20218018986757,2.796136224225884
1729,1,2,1,1,6,3,Peru,29000.0,20,1,1,0,0,-9.734623457950804,6.7324753375471555,8.780379669154694,-8.171520080865346
1730,1,2,1,1,6,1,Italy,18552.0,18,1,1,0,0,-11.03547657277646,4.753021238744305,10.350029045266576,-6.464119382419947
1731,1,2,1,1,5,4,Finland,51888.0,16,1,1,0,0,-9.967306691408458,2.7427140388017737,9.715423055296808,-4.375764698658989
1732,1,3,1,1,7,4,United States of America,137000.0,17,1,1,0,0,-8.38884573431467,3.7040362399097257,7.8710753101481306,-5.012438248096602
1733,1,2,1,1,10,1,Brazil,112176.0,10,1,1,0,0,-8.094310098428398,-3.3221035930639284,8.648158651933509,2.3780448913406325
1734,1,2,1,1,5,2,Netherlands,36324.0,17,0,1,0,0,-11.204385819946372,3.762540592651558,10.665936253356243,-5.448976702206636
1735,0,1,1,1,20,17,Denmark,83364.0,12,1,1,0,0,9.781578696170362,-1.6763213321483366,-9.635665285961872,2.7617077839112487
1736,1,2,1,1,0,3,United Kingdom of Great Britain and Northern Ireland,55582.0,5,0,1,0,0,-14.71623720392941,-8.148147495581334,16.576793301635945,5.946253032602568
1737,0,3,0,1,20,18,Poland,75756.0,10,0,1,0,0,10.367622707914062,-3.68590695098433,-10.035076392085019,5.017624207009314
1738,1,2,1,1,9,5,Germany,71345.0,8,1,1,0,0,-6.399721372841839,-5.3425886205349835,7.199920105294818,4.168986222907984
1739,0,2,1,0,40,30,United States of America,140000.0,14,1,1,0,0,33.54486024369068,-0.19321446796577163,-33.341832770326796,4.178092986917857
1740,1,2,1,1,10,6,Australia,133619.0,10,0,1,0,0,-4.948914982694737,-3.37229298646941,5.447965703021682,2.4444925026256925
1741,1,3,1,0,4,3,Italy,39996.0,1,0,1,0,0,-11.693510420677407,-12.224414097760974,13.733310273795116,10.179168012214168
1742,1,1,1,1,12,4,Brazil,21996.0,26,1,1,0,0,-4.31525463462759,12.605218229506153,2.505008858630172,-13.42164785565247
1743,0,1,1,1,36,31,Argentina,90000.0,14,1,1,0,0,31.063579987619224,-0.12616342463041175,-31.088227092067356,3.752846161024158
1744,1,2,1,1,10,4,Canada,67312.0,28,1,1,0,0,-5.825345741114967,14.643418464002924,3.7537085170327678,-15.460953298447151
1745,0,2,1,1,22,22,United States of America,104000.0,10,1,1,0,0,14.43857407648737,-3.7646315650392643,-14.370634816335157,5.876654333301376
1746,0,1,1,1,6,6,Russian Federation,468.0,10,0,1,0,0,-8.06194823413039,-3.295344738948916,8.816363946443014,2.0621632035972306
1747,1,2,1,1,13,11,Canada,97605.0,13,1,1,0,0,0.5898682976947186,-0.48118441431518316,-0.5769981191824028,0.3191584728900975
1748,1,2,1,1,10,4,Viet Nam,12.0,11,0,1,0,0,-6.1899965725128965,-2.3526769973440924,6.5055846015349985,1.32873897894408
1749,1,2,1,1,7,2,Slovakia,25944.0,6,0,1,0,0,-9.884952505776472,-7.273466658791588,10.955666882506417,5.639122584168452
1750,1,1,1,1,6,4,Serbia,11676.0,3,0,1,0,0,-9.46864615232405,-10.2735765054435,11.157139029807931,8.616977943153568
1751,0,2,1,1,18,15,New Zealand,141533.0,9,0,1,0,0,6.907477083864374,-4.616823410762426,-6.334233164617276,5.397057085665653
1752,1,3,0,1,10,6,Romania,54276.0,20,1,1,0,0,-4.738447072140526,6.625198076931926,3.8190719556915447,-7.35219718311836
1753,0,1,1,1,27,23,United States of America,175000.0,20,1,1,0,0,19.168721406250985,6.126599948742263,-19.93591847517192,-3.999971291353945
1754,1,2,1,1,11,3,Ireland,49725.0,14,0,1,0,0,-5.976167488760726,0.6374505473130259,5.793415927084584,-1.738234668534997
1755,1,3,1,0,5,2,Germany,36492.0,2,0,0,0,1,-11.524117391177775,-11.233908000455632,13.292058325359456,9.184077561932169
1756,0,3,1,1,16,14,Croatia,52248.0,14,1,1,0,0,4.827835930280833,0.4304720301316471,-4.999227569330399,-0.05820493830303337
1757,1,2,1,1,1,3,United Kingdom of Great Britain and Northern Ireland,38778.0,20,1,1,0,0,-13.61994007482109,6.828974981820744,13.062151096604147,-9.072693811669424
1758,1,3,1,1,9,1,United Kingdom of Great Britain and Northern Ireland,34900.0,18,1,1,0,0,-8.70353336970656,4.69516107886908,8.01806418876628,-6.416707039252998
1759,0,1,1,0,15,8,United States of America,125000.0,22,1,1,0,0,0.45009796704950666,8.5082774935615,-1.6038259626450109,-8.544335677652208
1760,1,3,1,1,12,5,Sweden,51804.0,9,0,1,0,0,-4.04767923334874,-4.400749539574199,4.6502176746248995,3.712038269280239
1761,1,3,1,0,10,2,France,25944.0,7,0,1,0,0,-7.532247793357597,-6.331592720657733,8.452325544991433,5.427024686287168
1762,1,1,1,1,5,2,India,6757.0,4,0,1,0,0,-11.482493974422749,-9.23443452261517,12.922479501219332,7.235749587328817
1763,0,1,1,1,20,7,United States of America,49000.0,29,1,1,0,0,3.853446321768477,15.420048068001924,-6.168909190678586,-15.619133725790855
1764,0,1,1,1,24,22,United States of America,185000.0,22,1,1,0,0,16.251369605010336,8.194079155805326,-17.43521667140235,-6.550329476548256
1765,0,2,1,1,35,25,United States of America,200000.0,7,0,1,0,0,26.36736771757938,-7.044740411122777,-25.421256654962274,10.013400926585138
1766,1,3,1,1,10,7,France,61853.0,18,1,1,0,0,-4.151888185524616,4.615639545050184,3.5087888896037036,-5.32957684840114
1767,1,2,0,1,7,3,Ghana,3372.0,12,1,1,0,0,-9.128889332793822,-1.2849728942107188,9.302196028987222,-0.19082642125232807
1768,1,2,1,1,8,6,Canada,64287.0,16,1,0,0,1,-6.377630165497472,2.6647557773690056,6.044013275887018,-3.7696816858284423
